,戳る,秨絃基,程蔼基,程基,Μ絃基
2003-01-02,200302,4390,4468,4380,4447
2003-01-03,200302,4502,4580,4502,4551
2003-01-06,200302,4577,4630,4558,4625
2003-01-07,200302,4648,4699,4620,4632
2003-01-08,200302,4635,4812,4633,4786
2003-01-09,200302,4750,4798,4745,4780
2003-01-10,200302,4819,4840,4792,4815
2003-01-13,200302,4830,5015,4830,5015
2003-01-14,200302,5000,5048,4985,4993
2003-01-15,200302,5030,5055,4962,5035
2003-01-16,200303,5000,5025,4910,4956
2003-01-17,200303,4975,4975,4887,4915
2003-01-20,200303,4907,4979,4877,4979
2003-01-21,200303,4960,5021,4935,4935
2003-01-22,200303,4920,5010,4915,5010
2003-01-23,200303,5005,5090,4998,5075
2003-01-24,200303,5040,5150,5040,5053
2003-01-27,200303,5022,5039,4940,4957
2003-01-28,200303,4920,5021,4920,5013
2003-02-06,200303,5050,5050,4761,4830
2003-02-07,200303,4790,4805,4625,4700
2003-02-10,200303,4660,4710,4622,4633
2003-02-11,200303,4655,4680,4620,4620
2003-02-12,200303,4633,4665,4556,4615
2003-02-13,200303,4582,4618,4486,4486
2003-02-14,200303,4530,4546,4472,4489
2003-02-17,200303,4580,4692,4580,4682
2003-02-18,200303,4677,4677,4603,4617
2003-02-19,200303,4668,4671,4525,4531
2003-02-20,200304,4545,4569,4510,4536
2003-02-21,200304,4570,4585,4504,4530
2003-02-24,200304,4551,4630,4525,4630
2003-02-25,200304,4551,4551,4430,4432
2003-02-26,200304,4451,4483,4450,4452
2003-02-27,200304,4432,4450,4362,4401
2003-03-03,200304,4523,4523,4448,4518
2003-03-04,200304,4451,4470,4440,4461
2003-03-05,200304,4438,4438,4380,4398
2003-03-06,200304,4410,4417,4385,4392
2003-03-07,200304,4363,4375,4322,4360
2003-03-10,200304,4380,4386,4315,4330
2003-03-11,200304,4295,4298,4230,4259
2003-03-12,200304,4255,4299,4255,4298
2003-03-13,200304,4294,4375,4265,4350
2003-03-14,200304,4480,4545,4464,4480
2003-03-17,200304,4450,4450,4293,4293
2003-03-18,200304,4450,4593,4450,4545
2003-03-19,200304,4551,4551,4482,4520
2003-03-20,200305,4500,4584,4500,4580
2003-03-21,200305,4582,4582,4545,4577
2003-03-24,200305,4627,4630,4521,4530
2003-03-25,200305,4470,4500,4441,4480
2003-03-26,200305,4503,4503,4465,4465
2003-03-27,200305,4446,4494,4441,4494
2003-03-28,200305,4475,4475,4441,4450
2003-03-31,200305,4440,4440,4266,4282
2003-04-01,200305,4250,4300,4247,4290
2003-04-02,200305,4290,4325,4250,4320
2003-04-03,200305,4372,4382,4320,4325
2003-04-04,200305,4301,4470,4292,4465
2003-04-07,200305,4493,4575,4452,4567
2003-04-08,200305,4531,4595,4483,4560
2003-04-09,200305,4520,4525,4491,4505
2003-04-10,200305,4472,4574,4468,4514
2003-04-11,200305,4509,4549,4492,4510
2003-04-14,200305,4526,4540,4421,4432
2003-04-15,200305,4455,4468,4430,4465
2003-04-16,200305,4516,4614,4516,4587
2003-04-17,200306,4575,4575,4536,4555
2003-04-18,200306,4571,4665,4571,4640
2003-04-21,200306,4669,4669,4617,4658
2003-04-22,200306,4630,4630,4557,4560
2003-04-23,200306,4650,4650,4560,4580
2003-04-24,200306,4575,4575,4331,4356
2003-04-25,200306,4301,4338,4188,4188
2003-04-28,200306,4150,4165,4061,4127
2003-04-29,200306,4179,4200,4120,4180
2003-04-30,200306,4173,4242,4101,4120
2003-05-02,200306,4120,4200,4120,4198
2003-05-05,200306,4168,4196,4135,4175
2003-05-06,200306,4195,4230,4175,4190
2003-05-07,200306,4195,4247,4185,4247
2003-05-08,200306,4230,4230,4153,4153
2003-05-09,200306,4153,4250,4153,4223
2003-05-12,200306,4221,4276,4208,4240
2003-05-13,200306,4285,4335,4285,4312
2003-05-14,200306,4316,4327,4291,4326
2003-05-15,200306,4303,4328,4270,4312
2003-05-16,200306,4330,4351,4260,4260
2003-05-19,200306,4240,4245,4206,4216
2003-05-20,200306,4149,4213,4142,4196
2003-05-21,200306,4196,4217,4170,4192
2003-05-22,200307,4179,4244,4170,4244
2003-05-23,200307,4278,4330,4265,4320
2003-05-26,200307,4324,4448,4324,4448
2003-05-27,200307,4455,4455,4412,4420
2003-05-28,200307,4489,4552,4458,4473
2003-05-29,200307,4487,4487,4440,4468
2003-05-30,200307,4460,4590,4445,4503
2003-06-02,200307,4555,4658,4550,4658
2003-06-03,200307,4660,4660,4612,4645
2003-06-05,200307,4712,4730,4689,4705
2003-06-06,200307,4720,4720,4669,4717
2003-06-09,200307,4698,4795,4670,4795
2003-06-10,200307,4756,4820,4752,4810
2003-06-11,200307,4835,4835,4770,4780
2003-06-12,200307,4801,4889,4800,4862
2003-06-13,200307,4875,4888,4850,4880
2003-06-16,200307,4870,4939,4853,4891
2003-06-17,200307,4968,4992,4961,4985
2003-06-18,200307,5015,5097,4990,5002
2003-06-19,200308,4993,5065,4980,5065
2003-06-20,200308,4996,5055,4990,5006
2003-06-23,200308,5000,5015,4921,4925
2003-06-24,200308,4886,4901,4850,4901
