最後結算日,契約  月份,電子期貨  （TE）
2003/1/15,200301,204.6
2003/2/19,200302,184.35
2003/3/19,200303,191.05
2003/4/16,200304,187.3
2003/5/21,200305,174.15
2003/6/18,200306,215.85
2003/7/16,200307,239.3
2003/8/20,200308,248.35
2003/9/17,200309,262.75
2003/10/15,200310,259.1
2003/11/19,200311,250.6
2003/12/17,200312,238.85
2004/1/27,200401,264.15
2004/2/18,200402,270.95
2004/3/17,200403,266.9
2004/4/21,200404,283.7
2004/5/19,200405,239.15
2004/6/16,200406,223
2004/7/21,200407,201.9
2004/8/18,200408,215.2
2004/9/15,200409,222.1
2004/10/20,200410,211.45
2004/11/17,200411,228.5
2004/12/15,200412,226.25
2005/1/19,200501,214.7
2005/2/16,200502,234
2005/3/16,200503,227.95
2005/4/20,200504,219.15
2005/5/18,200505,239.65
2005/6/15,200506,254.9
2005/7/20,200507,268.65
2005/8/17,200508,260.6
2005/9/21,200509,250.4
2005/10/19,200510,236.8
2005/11/16,200511,256.6
2005/12/21,200512,285
2006/1/18,200601,288.25
2006/2/15,200602,292.7
2006/3/15,200603,291.2
2006/4/19,200604,314.65
2006/5/17,200605,304.5
2006/6/21,200606,265.55
2006/7/19,200607,268.75
2006/8/16,200608,294.6
2006/9/20,200609,303.9
2006/10/18,200610,299.2
2006/11/15,200611,309.45
2006/12/20,200612,323.5
2007/1/17,200701,338.45
2007/2/26,200702,334.15
2007/3/21,200703,334.9
2007/4/18,200704,335.05
2007/5/16,200705,342.5
2007/6/20,200706,378.15
2007/7/18,200707,394.95
2007/8/15,200708,353.75
2007/9/19,200709,374.4
2007/10/17,200710,398.95
2007/11/21,200711,352.45
2007/12/19,200712,329.8
2008/1/16,200801,309.65
2008/2/20,200802,306.55
2008/3/19,200803,307.15
2008/4/16,200804,344.45
2008/5/21,200805,338.2
2008/6/18,200806,304.15
2008/7/16,200807,267.25
2008/8/20,200808,285.25
2008/9/17,200809,228.2
2008/10/15,200810,208.5
2008/11/19,200811,151.2
2008/12/17,200812,178.3
2009/1/21,200901,166.25
2009/2/18,200902,181.95
2009/3/18,200903,209.1
2009/4/15,200904,234.45
2009/5/20,200905,265.95
2009/6/17,200906,243.55
2009/7/15,200907,272.45
2009/8/19,200908,274.75
2009/9/16,200909,302.05
2009/10/21,200910,310.4
2009/11/18,200911,315.3
2009/12/16,200912,319.4
2010/1/20,201001,341.25
2010/2/22,201002,312.45
2010/3/17,201003,322.3
2010/4/21,201004,329.1
2010/5/19,201005,308.5
2010/6/17,201006,306.45
2010/7/21,201007,310.5
2010/8/18,201008,312.8
2010/9/15,201009,320.5
2010/10/20,201010,313.3
2010/11/17,201011,318.75
2010/12/15,201012,338.85
2011/1/19,201101,349.3
2011/2/16,201102,334.2
2011/3/16,201103,314.85
2011/4/20,201104,329.3
2011/5/18,201105,331.65
2011/6/15,201106,330.4
2011/7/20,201107,308.85
2011/8/17,201108,273.2
2011/9/21,201109,277.85
2011/10/19,201110,268.25
2011/11/16,201111,273.55
2011/12/21,201112,257.6
2012/1/18,201201,268.9
2012/2/15,201202,300.9
2012/3/21,201203,302.6
2012/4/18,201204,293.2
2012/5/16,201205,276.9
2012/6/20,201206,276.9
2012/7/18,201207,259.85
2012/8/15,201208,275.05
2012/9/19,201209,291.25
2012/10/17,201210,278.45
2012/11/21,201211,270.4
2012/12/19,201212,287.4
2013/1/16,201301,286.85
2013/2/20,201302,299.3
2013/3/20,201303,290.95
2013/4/17,201304,292.85
2013/5/15,201305,314.55
2013/6/19,201306,301.85
2013/7/17,201307,300.7
2013/8/22,201308,284.4
2013/9/18,201309,298.2
2013/10/16,201310,296.85
2013/11/20,201311,292.35
2013/12/18,201312,297.3
2014/1/15,201401,313.35
2014/2/19,201402,315.4
2014/3/19,201403,328.35
2014/4/16,201404,341.45
2014/5/21,201405,346.65
2014/6/18,201406,367.65
2014/7/16,201407,378.2
2014/8/20,201408,365.6
2014/9/17,201409,359.25
2014/10/15,201410,338
2014/11/19,201411,353.2
2014/12/17,201412,350.85
2015/1/21,201501,372.15
2015/2/24,201502,385.75
2015/3/18,201503,387.2
2015/4/15,201504,374
2015/5/20,201505,376.4
2015/6/17,201506,360.25
2015/7/15,201507,350.1
2015/8/19,201508,306.15
2015/9/16,201509,321.45
2015/10/21,201510,330.85
2015/11/18,201511,325.15
2015/12/16,201512,324.95
2016/1/20,201601,305.05
2016/2/17,201602,328.75
2016/3/16,201603,347.3
2016/4/20,201604,336.85
2016/5/18,201605,320.65
2016/6/15,201606,346.7
2016/7/20,201607,365.6
2016/8/17,201608,370.35
2016/9/21,201609,378.5
2016/10/19,201610,380.75
2016/11/16,201611,361.05
2016/12/21,201612,367.85
2017/1/18,201701,375.85
2017/2/15,201702,394.25
2017/3/15,201703,393.75
2017/4/19,201704,395.55
2017/5/17,201705,417
2017/6/21,201706,439.7
2017/7/19,201707,444.75
2017/8/16,201708,434.9
2017/9/20,201709,446.95
2017/10/18,201710,462.5
2017/11/15,201711,456.25
2017/12/20,201712,437
2018/1/17,201801,456.35
2018/2/21,201802,446.2
2018/3/21,201803,465.3
2018/4/18,201804,448.4
2018/5/16,201805,443.35
2018/6/20,201806,442
2018/7/18,201807,442
2018/8/15,201808,442
2018/9/19,201809,442
2018/10/17,201810,442
2018/11/21,201811,442
2018/12/19,201812,442
2019/1/16,201901,442
2019/2/20,201902,442
2019/3/20,201903,442
2019/4/17,201904,442
2019/5/15,201905,442
2019/6/19,201906,442
2019/7/17,201907,442
